plate,row,column,strain
BF plate 1a,b,2,PMY2556
BF plate 1a,b,3,PMY2564
BF plate 1a,b,4,PMY2572
BF plate 1a,b,5,PMY2565
BF plate 1a,b,6,PMY2573
BF plate 1a,b,7,PMY2581
BF plate 1a,b,8,PMY2558
BF plate 1a,b,9,PMY2582
BF plate 1a,b,10,PMY2590
BF plate 1a,b,11,PMY2559
BF plate 1a,c,2,PMY2567
BF plate 1a,c,3,PMY2575
BF plate 1a,c,4,PMY2583
BF plate 1a,c,5,PMY2591
BF plate 1a,c,6,PMY2599
BF plate 1a,c,7,PMY2560
BF plate 1a,c,8,PMY2568
BF plate 1a,c,9,PMY2576
BF plate 1a,c,10,PMY2584
BF plate 1a,c,11,PMY2592
BF plate 1a,d,2,PMY2561
BF plate 1a,d,3,PMY2569
BF plate 1a,d,4,PMY2601
BF plate 1a,d,5,PMY2570
BF plate 1a,d,6,PMY2594
BF plate 1a,d,7,PMY2563
BF plate 1a,d,8,Ftc555-1
BF plate 1a,d,9,PMY2603
BF plate 1a,d,10,PMY2605
BF plate 1a,d,11,PMY2606
BF plate 1a,e,2,PMY2607
BF plate 1a,e,3,Ftc555-1
BF plate 1a,e,4,PMY2608
BF plate 1a,e,5,PMY2609
BF plate 1a,e,6,PMY2610
BF plate 1a,e,7,PMY2611
BF plate 1a,e,8,PMY2612
BF plate 1a,e,9,PMY2613
BF plate 1a,e,10,PMY2614
BF plate 1a,e,11,PMY2615
BF plate 1a,f,2,PMY2616
BF plate 1a,f,3,PMY2617
BF plate 1a,f,4,PMY2619
BF plate 1a,f,5,PMY2621
BF plate 1a,f,6,PMY2622
BF plate 1a,f,7,PMY2623
BF plate 1a,f,8,PMY2624
BF plate 1a,f,9,PMY2626
BF plate 1a,f,10,PMY2627
BF plate 1a,f,11,PMY2630
BF plate 1a,g,2,PMY2631
BF plate 1a,g,3,PMY2632
BF plate 1a,g,4,PMY2633
BF plate 1a,g,5,PMY2634
BF plate 1a,g,6,PMY2635
BF plate 1a,g,7,PMY2636
BF plate 1a,g,8,PMY2637
BF plate 1a,g,9,PMY2638
BF plate 1a,g,10,Bt22
BF plate 1a,g,11,Bt22
